Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.204339	0.524309	93.967520	92.753623	
0.001000	0.167021	0.526068	93.503483	91.304348	
0.001000	0.127356	0.526785	96.751742	91.304347	
0.001000	0.188901	0.529084	93.039444	91.304347	
0.001000	0.149464	0.530265	93.967519	91.304347	
0.001000	0.133731	0.525723	94.895592	91.304347	
0.001000	0.255898	0.527867	90.951278	91.304348	
0.001000	0.194468	0.525117	92.807426	91.304348	
0.001000	0.139548	0.528494	96.287705	91.304348	
0.001000	0.175392	0.525560	93.039445	89.855072	
0.001000	0.179845	0.521392	93.271464	89.855072	
0.001000	0.204926	0.517747	92.807427	89.855072	
0.001000	0.164481	0.517261	94.431557	89.855072	
0.001000	0.249669	0.517602	90.487240	91.304348	
0.001000	0.222618	0.519670	92.343390	91.304347	
0.001000	0.182492	0.523885	93.735499	91.304347	
0.001000	0.178288	0.523944	93.735501	91.304347	
0.001000	0.138016	0.528731	95.359631	91.304347	
0.001000	0.181193	0.531903	93.039444	91.304348	
0.001000	0.201460	0.527802	93.271462	91.304348	
0.001000	0.134022	0.524863	94.895593	91.304347	
0.001000	0.182418	0.521389	93.503482	91.304348	
0.001000	0.125979	0.519090	96.287705	91.304347	
0.001000	0.167820	0.518083	94.199539	91.304347	
0.001000	0.159896	0.512622	94.199538	91.304347	
0.001000	0.152173	0.510645	94.431558	91.304348	
0.001000	0.201994	0.504037	92.343390	91.304347	
0.001000	0.157460	0.502451	94.895592	91.304348	
0.001000	0.205895	0.504048	92.343390	91.304347	
0.001000	0.150992	0.501294	95.359632	91.304348	
0.001000	0.169888	0.496014	94.663574	91.304347	
0.001000	0.139829	0.490916	94.663575	91.304348	
0.001000	0.165480	0.489503	94.431555	91.304348	
0.001000	0.137884	0.483868	95.591650	91.304348	
0.001000	0.144425	0.484715	94.663576	91.304348	
0.001000	0.130281	0.487397	95.591648	91.304348	
0.001000	0.144761	0.489262	94.895594	91.304348	
0.001000	0.214728	0.495158	93.039444	91.304348	
0.001000	0.211640	0.499394	92.343391	91.304348	
0.001000	0.136841	0.506060	94.895595	91.304347	
0.001000	0.199037	0.510005	93.503482	91.304347	
0.000100	1.084703	0.016263	70.912953	98.795181	
0.000100	1.133037	0.013150	70.488324	98.795181	
0.000100	1.033770	0.011525	73.036096	98.795181	
0.000100	0.913411	0.010150	73.885351	100.000000	
0.000100	2.169474	0.062189	52.070552	98.380567	
0.000100	1.943120	0.080729	54.141104	97.570850	
0.000100	1.641441	0.124391	59.739264	96.761134	
0.000100	1.471549	0.219869	60.352761	94.736842	
0.000100	1.225189	0.300460	62.883436	92.712551	
0.000100	1.035833	0.368805	71.472393	91.497976	
0.000100	0.982958	0.428708	70.858896	89.068826	
0.000100	0.905150	0.444738	74.693251	89.473684	
0.000100	0.834534	0.449879	77.607362	90.283401	
0.000100	0.769715	0.500900	79.984662	88.259109	
0.000100	0.744405	0.474102	81.671779	88.663968	
0.000100	0.677600	0.432393	84.662577	91.497976	
0.000100	0.640595	0.423451	85.889571	91.902834	
0.000100	0.596158	0.426650	87.039877	92.307692	
0.000100	0.601986	0.372903	87.960123	92.307692	
0.000100	0.573755	0.381041	89.263804	91.902834	
0.000100	0.544822	0.383598	90.950920	91.902834	
0.000100	0.549415	0.378424	89.110429	91.902834	
0.000100	0.489240	0.390523	91.794478	92.307692	
0.000100	0.513941	0.377341	90.567485	92.307692	
0.000100	0.473960	0.345125	92.484663	93.117409	
0.000100	0.489495	0.336123	91.180982	93.117409	
0.000100	0.440707	0.328721	92.638037	93.117409	
0.000100	0.474862	0.329480	91.717791	92.712551	
0.000100	0.438164	0.308115	92.024540	93.927126	
0.000100	0.428478	0.310052	92.407975	94.736842	
0.000100	0.463326	0.281243	90.874233	95.546559	
0.000100	0.429186	0.283925	92.101227	95.141700	
0.000100	0.454474	0.275384	91.334356	95.546559	
0.000100	0.402052	0.248984	93.098159	95.951417	
0.000100	0.385312	0.260830	93.098160	95.546559	
0.000100	0.364626	0.260728	93.711656	96.356275	
0.000100	0.405781	0.254965	91.641104	96.356275	
0.000100	0.371210	0.266523	93.328221	96.356275	
0.000100	0.396181	0.272267	91.871166	96.356275	
0.000100	0.355897	0.271825	93.711656	96.356275	
0.000100	0.371042	0.265599	92.561350	95.951417	
0.000100	0.356412	0.262181	93.481595	96.761134	
0.000100	0.361595	0.250911	93.788344	97.165992	
0.000100	0.334314	0.244464	93.634969	97.165992	
0.000100	0.314840	0.251977	94.631902	96.761134	
0.000100	0.317718	0.249493	94.478528	96.761134	
0.000100	0.334352	0.239607	94.171779	96.761134	
0.000100	0.326957	0.216304	93.941718	97.165992	
0.000100	0.349929	0.214633	92.791411	96.761134	
0.000100	0.312941	0.214874	94.248466	96.761134	
0.000100	0.339261	0.215299	93.251534	96.761134	
0.000100	0.310383	0.203136	94.631902	97.165992	
0.000100	0.315565	0.202044	94.095092	97.570850	
0.000100	0.329623	0.191696	93.174847	98.380567	
0.000100	0.311035	0.198949	94.171779	97.975709	
0.000100	0.298060	0.186229	93.481595	98.380567	
0.000100	0.275637	0.178763	94.785276	98.380567	
0.000100	0.275130	0.180572	95.245399	98.380567	
0.000100	0.314430	0.163229	93.098160	98.785425	
0.000100	0.306676	0.160240	93.634969	98.785425	
0.000100	0.295646	0.168827	93.481595	98.785425	
0.000100	0.314492	0.168754	93.941718	98.380567	
0.000100	0.281257	0.170308	94.018405	98.380567	
0.000100	0.273258	0.188080	94.785276	97.165992	
0.000100	0.300499	0.196488	93.328221	96.761134	
0.000100	0.257520	0.189715	94.248466	96.761134	
0.000100	0.269058	0.187332	94.325153	97.165992	
0.000100	0.278467	0.191722	93.711656	96.761134	
0.000100	0.270185	0.173213	94.478528	98.380567	
0.000100	0.271088	0.162206	94.708589	98.785425	
0.000100	0.275486	0.159333	94.248466	98.380567	
0.000100	0.279362	0.166294	93.251534	98.785425	
0.000100	0.249105	0.158213	94.861963	98.380567	
0.000100	0.275234	0.179906	94.018405	97.165992	
0.000100	0.269255	0.173599	93.634969	97.570850	
0.000100	0.285577	0.178111	93.404908	97.165992	
0.000100	0.263191	0.181680	94.171779	96.761134	
0.000100	0.269055	0.175242	94.171779	97.165992	
0.000100	0.261654	0.169818	93.865031	97.570850	
0.000100	0.288155	0.150877	93.481595	98.380567	
0.000100	0.268366	0.157863	93.941718	97.975709	
0.000100	0.234452	0.162613	94.631902	97.165992	
0.000100	0.272698	0.144774	93.098160	98.380567	
0.000100	0.246859	0.128793	94.478528	98.785425	
0.000100	0.234252	0.140100	94.095092	98.380567	
0.000100	0.248581	0.133329	93.865031	98.785425	
0.000100	0.235405	0.146203	95.092024	97.975709	
0.000100	0.263066	0.141256	93.634969	98.380567	
0.000100	0.232528	0.138233	95.398773	98.785425	
0.000100	0.246974	0.145988	93.481595	98.380567	
0.000100	0.249886	0.148211	94.018405	98.380567	
0.000100	0.212166	0.147057	95.168712	97.975709	
0.000100	0.240204	0.147708	94.095092	97.975709	
0.000100	0.235912	0.142194	94.785276	98.380567	
0.000100	0.216331	0.146951	95.398773	98.380567	
0.000100	0.229598	0.145281	94.785276	98.380567	
0.000100	0.214926	0.147394	95.168712	98.380567	
0.000100	0.215368	0.142837	95.628834	98.380567	
0.000100	0.216917	0.140954	95.245399	98.380567	
0.000100	0.243333	0.135850	93.481595	98.380567	
0.000100	0.229715	0.140608	94.248466	97.975709	
0.000100	0.219284	0.140219	95.092025	97.570850	
0.000100	0.211033	0.142634	95.398773	97.975709	
0.000100	0.211131	0.141755	95.628834	97.975709	
0.001000	0.239222	0.132971	94.171779	98.785425	
0.001000	0.208862	0.112357	95.475460	98.785425	
0.001000	0.249561	0.111617	92.638037	97.975709	
0.001000	0.202582	0.119710	95.015337	97.165992	
0.001000	0.183851	0.114965	95.245399	96.761134	
0.001000	0.192014	0.121234	94.861963	96.761134	
0.001000	0.193739	0.137887	94.401840	97.165992	
0.001000	0.172420	0.121043	95.935583	97.165992	
0.001000	0.183470	0.108728	94.248466	97.570850	
0.001000	0.190099	0.102190	94.248466	97.975709	
0.001000	0.196817	0.108780	93.941718	97.975709	
0.001000	0.174901	0.119597	95.245399	97.165992	
0.001000	0.144360	0.100498	96.242331	97.975709	
0.001000	0.171836	0.101953	95.015337	97.570850	
0.001000	0.177459	0.112365	94.861963	97.975709	
0.001000	0.179080	0.117692	95.092024	98.380567	
0.001000	0.181693	0.112151	94.555215	97.975709	
0.001000	0.161046	0.091355	95.398773	97.975709	
0.001000	0.138199	0.110363	95.705521	97.570850	
0.001000	0.179808	0.102389	93.481595	97.570850	
0.001000	0.170437	0.100274	94.325153	97.570850	
0.001000	0.172471	0.120120	95.015337	97.165992	
0.001000	0.168280	0.083830	94.401840	97.975709	
0.001000	0.181473	0.070275	94.018405	99.190283	
0.001000	0.158961	0.073080	95.475460	98.785425	
0.001000	0.136215	0.080243	96.012270	98.785425	
0.001000	0.165474	0.091695	94.861963	98.785425	
0.001000	0.140818	0.096927	94.938650	98.785425	
0.001000	0.121073	0.091737	96.012270	98.785425	
0.001000	0.136493	0.088470	96.012270	98.785425	
0.001000	0.122339	0.080855	96.625767	98.380567	
0.001000	0.142606	0.077545	95.628834	98.785425	
0.001000	0.127244	0.079311	95.628834	98.380567	
0.001000	0.140163	0.085921	95.858896	98.380567	
0.001000	0.142390	0.091541	95.628834	98.380567	
0.001000	0.132409	0.104549	95.858896	98.380567	
0.001000	0.117063	0.101201	96.472393	98.380567	
0.001000	0.134520	0.091519	95.552147	98.380567	
0.001000	0.155648	0.090426	94.478528	98.785425	
0.001000	0.134010	0.088336	95.398773	98.785425	
0.001000	0.131646	0.087094	95.168712	98.785425	
0.001000	0.154729	0.089136	95.168712	98.380567	
0.001000	0.120295	0.087810	95.935583	98.785425	
0.001000	0.144867	0.088167	95.475460	98.785425	
0.001000	0.135023	0.092384	95.475460	98.380567	
0.001000	0.146300	0.099678	95.552147	97.975709	
0.001000	0.131393	0.110193	95.322086	96.761134	
0.001000	0.142114	0.124961	95.322086	96.356275	
0.001000	0.152912	0.092894	95.092024	97.570850	
0.001000	0.129038	0.070452	95.475460	99.190283	
0.001000	0.126880	0.072724	95.705521	98.785425	
0.001000	0.134389	0.074260	94.938650	98.785425	
0.001000	0.118683	0.080618	96.395705	98.380567	
0.001000	0.123246	0.085193	96.088957	98.380567	
0.001000	0.140544	0.075428	95.168712	98.785425	
0.001000	0.132641	0.076666	95.168712	98.380567	
0.001000	0.118873	0.082101	96.165644	97.570850	
0.001000	0.114478	0.077912	95.858896	98.380567	
0.001000	0.127061	0.080003	95.552147	98.380567	
0.001000	0.102387	0.106288	97.009202	97.570850	
0.001000	0.118229	0.105184	96.088957	97.570850	
0.001000	0.137803	0.084218	95.475460	98.380567	
0.001000	0.137146	0.074348	94.861963	98.380567	
0.001000	0.111729	0.067761	96.702454	98.785425	
0.001000	0.125546	0.068139	95.705521	98.785425	
0.001000	0.117074	0.072198	95.858896	98.785425	
0.001000	0.121695	0.071115	96.012270	98.785425	
0.001000	0.114583	0.068250	95.935583	99.190283	
0.001000	0.106155	0.066787	96.702454	99.190283	
0.001000	0.108769	0.069785	96.319018	99.190283	
0.001000	0.119468	0.071348	96.165644	98.785425	
0.001000	0.101635	0.072039	96.932515	99.190283	
0.001000	0.095135	0.075097	96.932515	98.785425	
0.001000	0.098721	0.072020	96.932515	98.785425	
0.001000	0.113924	0.070922	96.319018	98.380567	
0.001000	0.092577	0.070881	97.162577	98.785425	
0.001000	0.131687	0.075775	95.322086	98.785425	
0.001000	0.105777	0.080104	96.319018	98.380567	
0.001000	0.094933	0.084746	96.779141	98.380567	
0.001000	0.091928	0.084410	97.162577	98.380567	
0.001000	0.123276	0.086815	95.245399	98.380567	
0.001000	0.126825	0.080227	95.858896	98.380567	
0.001000	0.121112	0.081619	95.552147	98.380567	
0.001000	0.133677	0.057540	94.785276	98.785425	
0.001000	0.137615	0.048884	95.322086	99.190283	
0.001000	0.128038	0.056573	95.628834	98.785425	
0.001000	0.109699	0.067409	96.242331	98.380567	
0.001000	0.102781	0.071795	96.319018	98.380567	
0.001000	0.117540	0.073619	95.935583	98.380567	
0.001000	0.101844	0.072787	96.472393	98.380567	
0.001000	0.107975	0.069114	96.549080	98.380567	
0.001000	0.113985	0.066280	96.242331	98.380567	
0.001000	0.105885	0.068358	96.012270	98.380567	
0.001000	0.110407	0.074270	96.702454	98.380567	
0.001000	0.111212	0.077740	95.935583	98.380567	
0.001000	0.109773	0.079160	95.705521	98.380567	
0.001000	0.104161	0.076724	96.549080	98.785425	
0.001000	0.088798	0.079278	96.932515	98.380567	
0.001000	0.086918	0.077515	97.469325	98.380567	
0.001000	0.095968	0.075715	96.472393	98.380567	
0.000100	1.091008	0.665780	68.444446	87.394958	
0.000100	1.320242	0.732034	64.592593	84.873949	
0.000100	1.180102	0.788115	67.555556	84.033613	
0.000100	1.072841	0.828308	68.148149	82.352941	
0.000100	0.924775	0.851559	71.851852	83.193277	
0.000100	0.810126	0.875316	73.629631	83.193277	
0.000100	0.812185	0.911560	73.185187	82.352941	
0.000100	0.709809	0.929564	75.259260	81.512605	
0.000100	0.827042	0.953627	71.555557	81.512605	
0.000100	0.639242	0.969554	79.259259	81.512605	
0.000100	0.658779	0.980969	77.481483	81.512605	
0.000100	0.648967	0.982630	78.370371	82.352941	
0.000100	0.659247	0.981629	78.370372	81.512605	
0.000100	0.622418	0.979616	80.296297	82.352941	
0.000100	0.568122	0.980803	79.555557	82.352941	
0.000100	0.573454	0.973773	79.407409	82.352941	
0.000100	0.614845	0.970241	79.259261	82.352941	
0.000100	0.550200	0.963807	80.888890	82.352941	
0.000100	0.523076	0.943482	81.481483	82.352941	
0.000100	0.513683	0.944262	82.074075	82.352941	
0.000100	0.466323	0.933203	84.148149	82.352941	
0.000100	0.541403	0.917676	81.481482	82.352941	
0.000100	0.546275	0.914807	82.222223	82.352941	
0.000100	0.516413	0.906183	82.370371	82.352941	
0.000100	0.523675	0.913431	81.185186	82.352941	
0.000100	0.449358	0.890153	85.925927	82.352941	
0.000100	0.497552	0.879052	82.666668	82.352941	
0.000100	0.556553	0.878005	82.222224	82.352941	
0.000100	0.568619	0.872759	79.111111	82.352941	
0.000100	0.533444	0.871320	81.333334	82.352941	
0.000100	0.461525	0.858472	83.407409	82.352941	
0.000100	0.433355	0.843775	84.000002	82.352941	
0.000100	0.459553	0.845837	83.407408	82.352941	
0.000100	0.446049	0.837174	86.074076	82.352941	
0.000100	0.555196	0.837587	80.444446	82.352941	
0.000100	0.479790	0.818225	82.518519	82.352941	
0.000100	0.440933	0.810048	84.592593	82.352941	
0.000100	0.446066	0.796568	84.592593	82.352941	
0.000100	0.460979	0.790550	84.296298	82.352941	
0.000100	0.507037	0.786296	81.777778	82.352941	
0.000100	0.497880	0.779433	82.222223	82.352941	
0.000100	0.479526	0.777114	81.925926	82.352941	
0.000100	0.524745	0.774373	82.518520	82.352941	
0.000100	0.488903	0.767076	84.000000	82.352941	
0.000100	0.464060	0.752513	83.703704	82.352941	
0.000100	0.457406	0.750263	84.148150	82.352941	
0.000100	0.449856	0.749720	84.000001	82.352941	
0.000100	0.442831	0.737210	83.555556	84.033613	
0.000100	0.435491	0.739387	85.629630	84.033613	
0.000100	0.463387	0.750880	82.666668	83.193277	
0.000100	0.425525	0.759974	85.333335	82.352941	
0.000100	0.376878	0.747947	86.518519	83.193277	
0.000100	0.390297	0.748779	85.629630	82.352941	
0.000100	0.498802	0.743462	83.703705	83.193277	
0.000100	0.394432	0.740832	86.814816	84.033613	
0.000100	0.456372	0.747465	83.555556	82.352941	
0.000100	0.388244	0.748284	85.925926	82.352941	
0.000100	0.393330	0.744696	86.518519	82.352941	
0.000100	0.450248	0.743772	83.851852	82.352941	
0.000100	0.410320	0.753032	84.888890	82.352941	
0.000100	0.430426	0.765669	84.296297	82.352941	
0.000100	0.407175	0.755139	86.074074	82.352941	
0.000100	0.449261	0.757148	83.111112	82.352941	
0.000100	0.447457	0.759407	85.777778	82.352941	
0.000100	0.372173	0.748843	86.666668	83.193277	
0.000100	0.407205	0.731696	84.888889	83.193277	
0.000100	0.429839	0.731131	84.296297	83.193277	
0.000100	0.383872	0.717755	85.629630	84.033613	
0.000100	0.421887	0.717521	84.148149	84.033613	
0.000100	0.397493	0.714294	86.518520	84.033613	
0.000100	0.436222	0.713558	83.851852	84.033613	
0.000100	0.394318	0.695148	85.481483	84.873950	
0.000100	0.335431	0.688778	88.592594	85.714285	
0.000100	0.404455	0.687228	86.518520	85.714286	
0.000100	0.460560	0.696602	82.814816	84.873949	
0.000100	0.435963	0.706996	84.444445	84.033613	
0.000100	0.370942	0.705264	87.851853	84.873950	
0.000100	0.456025	0.704334	83.407409	84.033613	
0.000100	0.421260	0.697632	85.629630	84.033613	
0.000100	0.418710	0.702013	84.740741	84.033613	
0.000100	0.413425	0.691192	85.777778	84.873949	
0.000100	0.395236	0.702438	86.222223	84.033613	
0.000100	0.359079	0.688725	87.111113	85.714285	
0.000100	0.407182	0.688575	86.074075	85.714286	
0.000100	0.434570	0.681203	85.777779	85.714285	
0.000100	0.483481	0.689814	83.407408	84.873949	
0.000100	0.398998	0.684343	85.629631	85.714285	
0.000100	0.413929	0.696984	85.481482	84.873949	
0.000100	0.407548	0.699934	85.037039	84.033613	
0.000100	0.382346	0.695888	86.962964	84.873949	
0.000100	0.415268	0.686315	85.333334	84.873949	
0.000100	0.401698	0.683512	86.370371	84.873950	
0.000100	0.358351	0.686352	87.851852	84.873949	
0.000100	0.349839	0.679887	87.111112	84.873949	
0.000100	0.407260	0.667594	84.740742	84.873949	
0.000100	0.431477	0.678704	85.925926	84.873949	
0.000100	0.364972	0.675118	87.703705	84.873949	
0.000100	0.397908	0.667848	85.333335	84.873949	
0.000100	0.405432	0.681660	85.777779	84.873949	
0.000100	0.434331	0.675088	83.407408	84.873949	
0.001000	0.431492	0.663372	84.740741	84.873949	
0.001000	0.371794	0.641727	87.555556	85.714285	
0.001000	0.392775	0.629802	86.666668	85.714286	
0.001000	0.339496	0.613401	86.666667	85.714285	
0.001000	0.424830	0.603095	85.185187	86.554622	
0.001000	0.342420	0.585996	88.740742	86.554622	
0.001000	0.435263	0.583355	84.000002	86.554622	
0.001000	0.350022	0.577745	86.962963	87.394957	
0.001000	0.405705	0.560066	85.777778	87.394958	
0.001000	0.331120	0.551109	88.148149	87.394958	
0.001000	0.348992	0.568229	87.111111	85.714286	
0.001000	0.390132	0.575450	86.370372	85.714285	
0.001000	0.325189	0.570719	88.296297	85.714286	
0.001000	0.357394	0.585432	88.000000	86.554622	
0.001000	0.398450	0.600676	85.037038	86.554622	
0.001000	0.333788	0.637597	89.185185	84.033613	
0.001000	0.320456	0.657245	88.444446	84.873949	
0.001000	0.333006	0.649731	88.296297	84.873949	
0.001000	0.341642	0.655858	87.555556	84.873949	
0.001000	0.314646	0.676003	88.444446	84.873949	
0.001000	0.344353	0.675205	87.703705	84.873949	
0.001000	0.318370	0.672374	88.592594	84.033613	
0.001000	0.346070	0.651865	86.370372	86.554622	
0.001000	0.357510	0.640754	87.111112	86.554622	
0.001000	0.286567	0.651316	89.037039	84.873950	
0.001000	0.329046	0.651672	87.259260	85.714285	
0.001000	0.311778	0.615308	88.296297	85.714285	
0.001000	0.277529	0.590379	90.814815	85.714285	
0.001000	0.334082	0.562278	86.962964	86.554622	
0.001000	0.318219	0.545283	88.296296	86.554622	
